,dialog_act,utterance
1214,reqalts,"are there any restaurants in the south part of town that are expensive
"
1215,inform,"i am looking for a moderately priced restaurant that serves turkish food
"
1216,inform,"is there on serving chineese
"
1217,request,"and can i have the address
"
1218,null,"new
"
1219,inform,"indian type food
"
1220,request,"and the phone number please
"
1221,inform,"expensive turk turkish
"
1222,inform,"yea im looking for a moderately priced restaurant in the south of town
"
1223,inform,"um is there one selling indian
"
1224,inform,"the pizza hutt unintelligent
"
1225,affirm,"yes that serves corsica food
"
1226,inform,"uh can i find a restaurant with asian oriental food
"
1227,inform,"expensive thai food
"
1228,inform,"okay moderate price range gastropub
"
1229,request,"alright whats the phone number
"
1230,inform,"im looking for north american food
"
1231,inform,"what about a restaurant serving thai food
"
1232,inform,"i want vegetarian food
"
1233,reqalts,"what about korean food
"
1234,inform,"okay uh forget that then can i get a restaurant serving italian food
"
1235,negate,"no cheap restaurant in the south part of town
"
1236,null,"taiwanese
"
1237,inform,"im looking for bistro food in the center of town
"
1238,affirm,"yes can i get an expensive restaurant in the south part of town
"
1239,request,"can i have the address and phone number
"
1240,request,"noise address
"
1241,inform,"im kind of looking for some french food
"
1242,inform,"im looking for a moderately priced restaurant and it should be in the north
"
1243,inform,"moderate restaurant seafood
"
1244,inform,"i am looking for an expensive restaurant in the south part of town
"
1245,inform,"find something in the north part
"
1246,null,"i need cant
"
1247,inform,"european type food
"
1248,request,"could i have the address phone number and price range please
"
1249,request,"and the type of food at gourmet burger kitchen
"
1250,inform,"are they expensive
"
1251,inform,"south part of town south
"
1252,request,"can i have the phone number and the type of food
"
1253,inform,"im looking for a restaurant in the east part of town that serves world food
"
1254,inform,"i need to find a cheap restaurant
"
1255,null,"did you hang up on me
"
1256,reqalts,"okay uh how about a bristish
"
1257,request,"could i have their address please
"
1258,inform,"ostro asian
"
1259,inform,"world food
"
1260,inform,"im looking for a restaurant in the south part
"
1261,inform,"korean food type
"
1262,inform,"spanish restaurant in the south part of town
"
1263,inform,"im looking for a cheap restaurant that serves mediterranean food
"
1264,inform,"i am looking for a restaurant in the center
"
1265,inform,"noise are there any venues that serve indian type food
"
1266,request,"what part of town
"
1267,hello,"hi im looking for a restaurant in the west part of town that serves baskaye food
"
1268,inform,"breath im looking for a cheap restaurant serving catalan food
"
1269,inform,"im looking for an expensive restaurant that serves european
"
1270,reqalts,"uh is there a restaurant that serves international food
"
1271,inform,"in the center part of town french food
"
1272,inform,"venue
"
1273,inform,"looking for an expensive restaurant that serves afghan food
"
1274,inform,"id like a moderately priced restaurant in the west part of town
"
1275,inform,"um a cheap restaurant in the west part of town
"
1276,reqalts,"how about creative food
"
1277,inform,"just chinese food in the north part of town
"
1278,inform,"find restaurant in south of town serving international f
"
1279,reqalts,"is there a restaurant serving indian food
"
1280,request,"alright whats the address
"
1281,inform,"unusual
"
1282,request,"could i have the address phone number and post code
"
1283,request,"could i have the address please
"
1284,request,"what price range is it
"
1285,inform,"a restaurant serving french food
"
1286,null,"now
"
1287,affirm,"uh yes i would like a restaurant in the center and it should serve jamaica
"
1288,request,"noise phone number
"
1289,inform,"can i have a thai restaurant
"
1290,inform,"uh west
"
1291,request,"what is their address
"
1292,request,"what is their address and telephone number
"
1293,inform,"um im looking for a restaurant in north part of town
"
1294,inform,"hey im looking for a restaurant in the west part of town
"
1295,bye,"okay thank you very much and good bye
"
1296,inform,"i wanna find a moderately priced restaurant in the east part of t
"
1297,inform,"im looking for a moroccan restaurant in the center of town
"
1298,reqalts,"how about in any area
"
1299,inform,"find moderately priced brazilian restaurant
"
1300,inform,"im looking for asian oriental
"
1301,inform,"looking for a restaurant in the south part of town that serves australian food
"
1302,inform,"cheap restaurant serving chinese food
"
1303,inform,"im looking for an expensive restaurant and it should be the east part of town
"
1304,inform,"i would like a moderately priced restaurant in the west part of town
"
1305,inform,"looking for a restaurant in any area that serves irish food
"
1306,confirm,"does it serve asian oriental
"
1307,inform,"north american
"
1308,inform,"irish food on the east part of town
"
1309,inform,"i am looking for a restaurant in the moderate price range that serves russian
"
1310,inform,"i want to find a cheap
"
1311,inform,"id like a expensive restaurant in the south part of town
"
1312,inform,"traditional
"
1313,inform,"any kind of food id like a cheap restaurant
"
1314,reqalts,"how about any price range
"
1315,request,"can i get their phone number please
"
1316,inform,"im looking for a restaurant in any area that serves belgian food
"
1317,request,"a phone number please
"
1318,inform,"im looking for mexican food
"
1319,request,"what is the address of that venue
"
1320,request,"can i please have the phone number
"
1321,inform,"im looking for corsica food noise
"
1322,inform,"can i have french food in the center
"
1323,request,"could i get the phone number please
"
1324,inform,"need it in north
"
1325,inform,"im looking for an expensive restaurant that serves mediterranean food
"
1326,deny,"i dont want vietnamese food
"
1327,inform,"singaporean food
"
1328,inform,"an expensive unintelligible
"
1329,reqalts,"what about a modern europene type of food
"
1330,inform,"for a restaurant
"
1331,inform,"can i have a mexican restaurant
"
1332,request,"what is the address phone number
"
1333,inform,"the south part of town greek food
"
1334,inform,"um italian
"
1335,request,"address phone number and price range
"
1336,request,"may i have the post code please
"
1337,inform,"im looking for a pan asian food in the south of town
"
1338,inform,"steak house food noise steak house food
"
1339,reqalts,"what about earatree food
"
1340,inform,"im looking for a restaurant in the north part of town that serves christmas food
"
1341,bye,"good bye thank you good bye
"
1342,thankyou,"thank you and good bye
"
1343,inform,"cheap resataurant serving unintelligible food
"
1344,bye,"okay bye
"
1345,inform,"id like a restaurant in any area that it serves canapes
"
1346,confirm,"is it serving portuguese food
"
1347,reqalts,"how about vietnamese food
"
1348,inform,"im looking for a restaurant it should serve vietnamese food
"
1349,request,"whats the address
"
1350,inform,"i want to find a moderately priced restaurant and it should be in the
"
1351,inform,"what about asian food
"
1352,bye,"okay well thank you good bye
"
1353,inform,"it should serve caribbean food
"
1354,inform,"i want italian food
"
1355,affirm,"yes west part of town
"
1356,affirm,"in the center yes
"
1357,request,"and what area
"
1358,inform,"uh it doesnt matter
"
1359,request,"may i have the address and post code
"
1360,negate,"no spanish
"
1361,negate,"no that is not unintelligible italian type of food
"
1362,affirm,"uh yes im looking for a belgian restaurant in new york city
"
1363,confirm,"is that in the center
"
1364,inform,"barbecue food west part of town
"
1365,request,"give me address and phone number
"
1366,reqalts,"how bout asian oriental type of food
"
1367,inform,"im looking for a restaurant in the north part of town serving indonesian
"
1368,reqalts,"okay fine what about asian food
"
1369,request,"uh whats the address and the phone number
"
1370,confirm,"is there a moderately priced restaurant that serves british food
"
1371,request,"what area of town
"
1372,reqalts,"what about spanish
"
1373,reqalts,"how about canapes
"
1374,inform,"any type of area
"
1375,reqalts,"is there any other type of food
"
1376,reqalts,"anything house
"
1377,request,"the phone number for bloomsbury
"
1378,inform,"danish food in the south part of town
"
1379,request,"an area
"
1380,inform,"european
"
1381,inform,"im looking for a moderate priced restaurant in the north part of town
"
1382,null,"suggestion
"
1383,inform,"moderate restaurant north part of town
"
1384,null,"noise okay
"
1385,inform,"im looking for a restaurant in north part of town serving austrian food
"
1386,inform,"im looking a cheap restaurant in the south part of town
"
1387,request,"and can i get their address
"
1388,inform,"with scottish
"
1389,affirm,"yes do you have one with chinese
"
1390,inform,"american
"
1391,inform,"i want an expensive irish restaurant
"
1392,inform,"im looking for a restaurant in the north part of town thats
"
1393,inform,"i need a restaurant that serves corsica food
"
1394,inform,"noise um in the east part of town
"
1395,inform,"um moderate
"
1396,thankyou,"ah thank you goodbye
"
1397,thankyou,"thank you good bye
"
1398,request,"whats the address and price range
"
1399,affirm,"yes im looking for an expensive restaurant and it should serve
"
1400,affirm,"yes hi im looking for a restaurant in the north
"
1401,request,"okay can i have the address phone number and the post code of the restaurant
"
1402,inform,"i want an indonesian restaurant in the north part of town
"
1403,inform,"uh id like steakhouse food
"
1404,reqalts,"do you have a restaurant that serves korean food
"
1405,inform,"you said chinese food
"
1406,inform,"portugese
"
1407,inform,"what about indian foods
"
1408,inform,"international
"
1409,inform,"irish food
"
1410,request,"what are the price ranges available
"
1411,null,"expe
"
1412,inform,"i want to find a moderately priced restaurant in the west part town
"
1413,inform,"a restaurant in the east part of town serving indian food
"
1414,reqalts,"i dont want that one whats another one
"
1415,inform,"id like to find a restaurant
"
1416,request,"can i get an address and phone number
"
1417,reqalts,"how about singaporean food
"
1418,inform,"is there one in the cheap price range
"
1419,reqalts,"uh what about italian food
"
1420,inform,"im looking for a restaurant in the north
"
1421,request,"part of town is it in
"
1422,inform,"a restaurant in the south part of town serving pan asian food
"
1423,inform,"could i have a restaurant that serves thai food
"
1424,inform,"scottish food
"
1425,affirm,"uh yes i would like a restaurant in the south
"
1426,inform,"expensive restaurant serving kosher food
"
1427,inform,"i want a restaurant in the east part of town
"
1428,affirm,"uh yes can i find a restaurant in the east part of town that serves chinese
"
1429,inform,"east part ot tow
"
1430,request,"can i have the phone number and address
"
1431,inform,"restaurant any area kosher food
"
1432,inform,"modereate
"
1433,request,"can i have the phone number and post code of the venue
"
1434,inform,"austrian
"
1435,inform,"im looking for a welsh restaurant in the west part of town
"
1436,inform,"i want to find a moderately priced restaurant
"
1437,inform,"i need a cheap restaurant
"
1438,request,"please let me have the address
"
1439,reqalts,"what else is there
"
1440,null,"spice
"
1441,inform,"im looking for a restaurant in the south part of town and it should serve scandinavian food
"
1442,inform,"i need asian how bout asian food
"
1443,confirm,"is it chinese food though
"
1444,inform,"i need a restaurant in the center of town
"
1445,inform,"im looking for a restaurant in the east part of town that serves indonesian food
"
1446,inform,"tv_noise it doesnt matter
"
1447,inform,"im looking for a restaurant in central it should serve japanese food
"
1448,hello,"hi im looking for a restaurant that servers
"
1449,request,"okay what about the post code
"
1450,inform,"i would like expensive food
"
1451,inform,"cheap restaurant that serves vegetarian food
"
1452,reqalts,"uh how about moderately priced
"
1453,request,"um whats the address
"
1454,inform,"gastropub food
"
1455,thankyou,"uh thank you
"
1456,inform,"what about mediterranean food
"
1457,inform,"i want a restaurant serving
"
1458,inform,"i want an expensive restaurant serving european food
"
1459,inform,"im looking for a turkish restaurant in the east part of town
"
1460,inform,"west part of town cheap
"
1461,request,"may i have the phone number and post code
"
1462,affirm,"uh yes that serves mediterranean food
"
1463,inform,"find cheap restaurant
"
1464,inform,"id like a restaurant that serves gastropub food
"
1465,inform,"i want a moderately priced restaurant that serves mediterranean food
"
1466,inform,"can i have a british restaurant in the east please
"
1467,request,"can i can i have the address the phone number
"
1468,inform,"looking for a restaurant in the west part of town
"
1469,confirm,"is that persian food
"
1470,inform,"looking for a japanese restaurant in the center
"
1471,inform,"i want to find a moderately
"
1472,reqalts,"is there a different cheap restaurant in the west part of town
"
1473,negate,"uh no oh
"
1474,reqalts,"is their anything else
"
1475,inform,"im looking for thai
"
1476,inform,"in the center part of town
"
1477,inform,"id like to find a moderately priced restaurant in the west part of town
"
1478,inform,"anywhere
"
1479,request,"could i have the phone number and address please
"
1480,null,"ad
"
1481,inform,"i am looking for a moderately priced restaurant that serves russian food
"
1482,affirm,"uh huh
"
1483,inform,"i need a cheap restaurant in the west part of town
"
1484,inform,"im looking for a restaurant in the east part of town that serves british food
"
1485,inform,"im looking for a cheap restaurant that serves gastropub food
"
1486,request,"and whats the phone number for that
"
1487,request,"whats the phone whats the phone number
"
1488,inform,"south part of town
"
1489,inform,"id like a cheap restaurant in the south part of town
"
1490,request,"and for good luck what is the post code
"
1491,inform,"i would like to find a moderately priced restaurant in the north part of town please
"
1492,reqalts,"how about indian noise
"
1493,inform,"expensive restaurant serving world food
"
1494,inform,"oriental
"
1495,null,"okay is there
"
1496,affirm,"yes im looking for barbecue food
"
1497,request,"addrss
"
1498,request,"price
"
1499,inform,"can i have moderately priced restaurant
"
1500,affirm,"uh yes im looking for a cheap restaurant in the west part of town
"
1501,request,"may i get the price range
"
1502,inform,"dont care want afghan food afghan food afghan
"
1503,inform,"i would like a moderately priced restaurant serving african food
"
1504,request,"can i have the phone number address and price range
"
1505,request,"probably an address
"
1506,thankyou,"okay thats all thank you good bye
"
1507,inform,"im looking for an expensive restaurant that serves unintelligible food
"
1508,inform,"id like a restaurant in any area that serves japanese food
"
1509,inform,"moderately priced swedish food
"
1510,inform,"italian type of food
"
1511,reqalts,"is there another restaurant in the moderately price range in the east part of town
"
1512,inform,"im looking for a cheap hungarian restaurant
"
1513,inform,"asian ori
"
1514,inform,"a restaurant in the west part of town
"
1515,inform,"im looking for a restaurant in the north part of town that serves french food
"
1516,inform,"place that serves portuguese food
"
1517,request,"what is the phone number and area
"
1518,affirm,"yes id like a restaurant in the east part of town that serves indian food
"
1519,inform,"restaurant in the south part of town
"
1520,inform,"moderately price
"
1521,request,"thank you what is the address and phone number
"
1522,null,"that is all
"
1523,inform,"african food please
"
1524,null,"laughing
"
1525,reqalts,"what restaurants are in the west part of town
"
1526,inform,"in the north part o
"
1527,inform,"i need a vietnamese restaurant
"
1528,inform,"dont care east part of town
"
1529,request,"what is the postcode
"
1530,inform,"im looking for moderately priced in the north part of town
"
1531,confirm,"does it serve modern european food
"
1532,inform,"any expensive
"
1533,request,"okay give me address
"
1534,request,"what kind of food does it serve
"
1535,inform,"im looking for a restaurant in the center serving russian food
"
1536,affirm,"uh yeah im looking for a restaurant in the south part of town and that serves kosher food
"
1537,request,"could you give me a address
"
1538,inform,"i want to find a cheap restaurant and it should serve scandinavian food
"
1539,reqalts,"okay how about an expensive
"
1540,inform,"looking for caribbean food
"
1541,inform,"moderately priced catalan food
"
1542,inform,"serving european food
"
1543,inform,"i want an expensive restaurant in the south part of town
"
1544,request,"and what is the price range
"
1545,inform,"restaurant west
"
1546,inform,"that serves turkish food
"
1547,inform,"italian food instead
"
1548,null,"id like
"
1549,inform,"expensive indonesian
"
1550,inform,"in the north part of town that serves
"
1551,inform,"i want to find a restaurant
"
1552,inform,"i need to find one in the south part of town
"
1553,inform,"i want a moderately priced chinese restaurant
"
1554,inform,"cheap restaurant serving indian food
"
1555,inform,"east part of town serving swedish food
"
1556,reqalts,"how about rest of town
"
1557,reqalts,"how about romanian food
"
1558,null,"can you
"
1559,inform,"vietnamese food in any area
"
1560,inform,"and it should be in the north part of town
"
1561,inform,"with scottish food
"
1562,inform,"im looking for a restaurant serving asian oriental food
"
1563,request,"ok how about a restaurant and phone number
"
1564,inform,"it should serve belgian food
"
1565,request,"type of food served
"
1566,inform,"it doesnt matter to me
"
1567,inform,"i want a scottish restaurant
"
1568,inform,"im looking for a cheap restaurant in the north
"
1569,reqalts,"is there another place
"
1570,request,"i would like the address and phone number
"
1571,inform,"restaurant there
"
1572,inform,"im looking for a cheap restaurant in the north of town
"
1573,inform,"can i have a moderately priced restaurant
"
1574,affirm,"uh yes i want to find a restaurant in the north part of town that serves
"
1575,request,"excellent can you give me the phone number please
"
1576,inform,"vietnamese
"
1577,inform,"i want french
"
1578,null,"find
"
1579,request,"what area are the asian oriental restaurants
"
1580,null,"what is the uh
"
1581,inform,"either one
"
1582,confirm,"is that mexican food
"
1583,request,"whats the phone number there
"
1584,inform,"european food
"
1585,inform,"okay i dont care about price range
"
1586,request,"and can i have the phone number and ah the area where it is
"
1587,inform,"uh looking for a restaurant in the west part of town that serves canapes food
"
1588,inform,"im looking for one east part of town
"
1589,request,"uh could you repeat the phone number
"
1590,bye,"good thank you good bye
"
1591,inform,"lebanese food in the center of town
"
1592,inform,"i am looking for a moderate priced restaurant
"
1593,inform,"cheap restaurant serving mediterranean food
"
1594,request,"okay and whats the post code
"
1595,inform,"im looking for a moderately priced restaurant and it should serve polynesian food
"
1596,inform,"restaurant in center
"
1597,request,"is it what what price range
"
1598,request,"i need a special restaurant serving christmas food
"
1599,inform,"i would like to find a cheap restaurant in the west part of t
"
1600,inform,"a restaurant in the south part of town serving italian food
"
1601,inform,"im looking for a moderately priced restaurant serving basque food
"
1602,inform,"i want to find an expensive restaurant on the east part of town
"
1603,inform,"uh center
"
1604,confirm,"do they serve turkish food
"
1605,thankyou,"awesome thank you good bye
"
1606,ack,"okay just pick one for me then
"
1607,request,"can you repeat the address please
"
1608,request,"type of food they served
"
1609,inform,"um it doesnt matter
"
1610,inform,"west killeen
"
1611,inform,"uh im not interested in the type
"
1612,inform,"i need to find a restaurant in the west part of town
"
1613,request,"can i have the address and the post code
"
1614,inform,"i want to find a restaurant that serves world food
"
1615,inform,"is doesnt matter
"
1616,reqalts,"how about an expensive restaurant that serves european food
"
1617,inform,"i want to find a restaurant in the center and it should serve vietnamese food
"
1618,null,"than
"
1619,inform,"something in the north part of town serving chinese food
"
1620,inform,"i want the center of town
"
1621,request,"what is the pri what is the telephone number
"
1622,inform,"the south part of town id like a restaurant that serves traditional food
"
1623,inform,"spanish spanish food spanish
"
1624,hello,"hi need an
"
1625,inform,"scandinavian
"
1626,inform,"im looking for a restaurant in the north part
"
1627,inform,"in the center that serves unintelligible asian
"
1628,inform,"i am looking for a cheap restaurant in the north part of town
"
1629,inform,"i want a moderately priced cantonese restaurant
"
1630,request,"may i have the address and area
"
1631,inform,"i want to find a restaurant moderately priced in the south part of town
"
1632,inform,"im looking for a expensive restaurant that serves vegetarian food
"
1633,inform,"id like a restaurant that serves asian food
"
1634,inform,"cheap european food
"
1635,request,"may i have the address phone
"
1636,inform,"uh international food
"
1637,inform,"i am looking for gastropub food
"
1638,request,"my i have the phone number
"
1639,inform,"can i have a cheap restaurant in the south part of town
"
1640,inform,"i want to find a expensive restaurant and it should serve english food
"
1641,request,"can i have the phone number and post code please
"
1642,inform,"im looking for a restaurant that serves austral austrian food
"
1643,inform,"european food expensive restaurant
"
1644,request,"could you repeat the restaurant name
"
1645,inform,"im looking for a restaurant in the east part of town that serves belgium food
"
1646,inform,"i want to find a restaurant in the north part of town that serves italian food
"
1647,inform,"english food
"
1648,hello,"hello hello oh your on the phone yea
"
1649,thankyou,"goodbye thank you
"
1650,inform,"im looking for a restaurant in the west part of town serving italian food
"
1651,affirm,"noise yes
"
1652,reqalts,"how about korean now
"
1653,inform,"id like a moderately priced restaurant that serves halal food
"
1654,inform,"im looking for cheap japanese food
"
1655,negate,"no african
"
1656,reqalts,"what about moderate price range
"
1657,request,"um whats the phone number
"
1658,inform,"im looking for a cheap restaurant in the west part of town
"
1659,null,"the
"
1660,inform,"im looking for an expensive restaurant that serves basque food
"
1661,inform,"i want to find a restaurant that serves vietnamese
"
1662,inform,"id like a restaurant in the north part of town that serves cross over food
"
1663,affirm,"uh yes i need the north part of town
"
1664,inform,"in the centre of town
"
1665,affirm,"yes the address
"
1666,inform,"the west part
"
1667,inform,"noise im looking for moderately priced in the north part of cleveland ohio
"
1668,inform,"i dont care about the price range
"
1669,inform,"the center
"
1670,inform,"brazilian
"
1671,inform,"is there a chinese restaurant in the cheap price range
"
1672,inform,"the north part of tow
"
1673,null,"unintelligible
"
1674,request,"could i have the area please
"
1675,null,"duration
"
1676,thankyou,"uh thank you and goodbye
"
1677,request,"can i have the post code
"
1678,inform,"i want a jamaican food restaurant in the center part of town
"
1679,inform,"italian food cheap restaurant
"
1680,request,"may i have the address and type of food
"
1681,reqalts,"is there a restaurant
"
1682,request,"okay what were the prices for the other restaurant
"
1683,inform,"hungarian
"
1684,inform,"moderately priced restaurant in the west
"
1685,inform,"korean restaurant
"
1686,request,"what is their special dish
"
1687,inform,"for an expensive restaurant in the east part of town
"
1688,reqalts,"okay what about another restaurant
"
1689,inform,"im looking for a restaurant that serves vietnamese food
"
1690,request,"can i get the address phone number
"
1691,inform,"um gastropub food
"
1692,inform,"im looking for a restaurant in any area that serves welsh food
"
1693,inform,"any price range noise
"
1694,negate,"no goodbye thank you
"
1695,confirm,"is it serving french food
"
1696,inform,"i want a restaurant that serves french food
"
1697,thankyou,"thank you and goodbye
"
1698,inform,"im looking for a moderately priced restaurant serving cuban food
"
1699,negate,"no north
"
1700,inform,"asian oriental food in the north part of town
"
1701,inform,"the expensive price range
"
1702,inform,"im looking for a restaurant with irish food
"
1703,request,"great whats the address
"
1704,inform,"im looking for a eritrean restaurant
"
1705,inform,"i need a moderately priced restaurant that serves caribbean food
"
1706,inform,"dont know
"
1707,inform,"im looking for a moderately priced restaurant that serves european food
"
1708,inform,"looking for a moderately priced restaurant in the north of town
"
1709,request,"address phone number and type of venue
"
1710,inform,"im looking for a restaurant in the north part of town that serves traditional food
"
1711,reqalts,"what about gastropub
"
1712,null,"would you like something
"
1713,inform,"restaurant in the west part of town
"
1714,reqalts,"how about a korean restaurant
"
1715,inform,"im looking for something serving vegetarian food
"
1716,reqalts,"how about oriental type of food
"
1717,reqalts,"what about a moderately priced restaurant
"
1718,inform,"whats a cheap restaurant in the west
"
1719,request,"may i have the address and phone number and post code
"
1720,inform,"im looking for a japanese restaurant in the east part
"
1721,null,"not sure
"
1722,inform,"im looking for an expensive restaurant that serves portuguese food
"
1723,request,"what was the phone number for chiquito
"
1724,inform,"north part of town austral asian food
"
1725,inform,"mediterranean food
"
1726,confirm,"does it serve halal food
"
1727,request,"telephone number
"
1728,reqalts,"how about the north part
"
1729,inform,"i need to find an expensive restaurant in the south park of town
"
1730,inform,"gastropub type food
"
1731,inform,"i need a moderately priced restaurant in the north of town
"
1732,inform,"i want a cheap restaurant that serves italian food
"
1733,request,"uh whats the phone number
"
1734,reqalts,"and what is the other restaurant
"
1735,request,"whats the area
"
1736,null,"show me the next
"
1737,request,"may i have the address
"
1738,inform,"okay moderate price range
"
1739,inform,"north part of town fast food
"
1740,null,"free
"
1741,inform,"i want a restaurant that serves basque food
"
1742,reqalts,"uh are there any restaurants serving chinese
"
1743,inform,"north part of town turkish food
"
1744,inform,"catalan food
"
1745,negate,"no not noise
"
1746,thankyou,"oh my god thank you goodbye
"
1747,inform,"tv_noise any
"
1748,negate,"no hungarian
"
1749,inform,"yea id like a moderately priced restaurant in the west
"
1750,inform,"i want to find a rest
"
1751,inform,"any type of food
"
1752,request,"what is the address and phone number and area
"
1753,inform,"what about expensive food
"
1754,negate,"no italian food
"
1755,null,"okay and um
"
1756,inform,"polynesia food
"
1757,restart,"start over
"
1758,inform,"um british
"
1759,inform,"tuscan
"
1760,inform,"could i have a moderately priced restaurant that serves thai food please
"
1761,inform,"looking for a sea food restaurant
"
1762,inform,"im looking for a re
"
1763,request,"address phone number post code
"
1764,inform,"is there staurant that serves unusual food
"
1765,request,"phone number and type of food
"
1766,inform,"looking for a restaurant in any area that serves mediterranean
"
1767,inform,"im looking for a restaurant in the east part of the town with indian asian food
"
1768,inform,"breath im looking for a restaurant in the east part of tow
"
1769,negate,"oh no and cheap
"
1770,inform,"im looking for a restaurant that serves japanese food
"
1771,inform,"restaurant and it should serve steak house food
"
1772,inform,"yea im looking for a restaurant in the moderate price range serving vietnamese food
"
1773,inform,"i want korean food
"
1774,request,"address and phone number please
"
1775,inform,"im looking for a restaurant in the north part of town that serves korean food
"
1776,inform,"portuguese food noise
"
1777,confirm,"does it serve swedish serve
"
1778,request,"uh i want the address of the or the address of the mediterranean food part
"
1779,request,"address and price range
"
1780,request,"and what type of food do they serve at pizza hutt
"
1781,request,"can i have the address and phone number of the venue
"
1782,inform,"expensive restaurant welsh food
"
1783,inform,"id like a moderately priced restaurant in the north part of town
"
1784,inform,"uh any type
"
1785,inform,"french noise
"
1786,inform,"australian food center part of town
"
1787,request,"what is the phone number
"
1788,reqalts,"how about one with thai food
"
1789,inform,"im looking for a restaurant in the north part of town that serves french
"
1790,reqalts,"is there anything
"
1791,inform,"im looking for an expensive restaurant that serves turkish food
"
1792,inform,"im looking for british food
"
1793,inform,"a restaurant in the west that serves italian food
"
1794,request,"uh no i need the phone number
"
1795,inform,"do you have chinese food
"
1796,inform,"im looking for a restaurant in the east part of town
"
1797,request,"cool whats the address
"
1798,negate,"no cuban food cuban food
"
1799,inform,"i want to find a expensive restaurant in the south part of town
"
1800,inform,"im looking for an expensive restaurant and it should serve international food
"
1801,inform,"moderate price
"
1802,request,"the address
"
1803,negate,"no im sorry it should be expensive
"
1804,inform,"im looking for a cheap restaurant in the east part of town
"
1805,inform,"im looking for hungarian food i dont care about the price
"
1806,inform,"id like a austrian restaurant in the south part of town
"
1807,thankyou,"thanks bye bye
"
1808,inform,"in the north part
"
1809,request,"and address
"
1810,inform,"looking for a restaurant in the south part of town serving
"
1811,inform,"can i get a restaurant
"
1812,inform,"i want a moderately priced restaurant
"
1813,inform,"spanish restaurant
"
1814,inform,"im looking for a restaurant
"
1815,inform,"hi id like a moderately priced restaurant in the north
"
1816,inform,"ok what about indian
"
1817,request,"and whats the postcode
"
1818,inform,"restaurant in the north part of town serv
"
1819,inform,"are they the east side of town
"
1820,inform,"id like a restaurant in the north part of town serving indian food
"
1821,inform,"uh it does i dont care
"
1822,request,"can i have the phone number and the address please
"
1823,inform,"i want a restaurant in the north part of town that serves vietnamese food
"
1824,inform,"that serves spanish food
"
1825,inform,"i want to find a moderately priced restaurant and it should be in the west part of town
"
1826,affirm,"breath correct
"
1827,inform,"i need a caribbean restaurant in the south part of town
"
1828,inform,"change that to mediterranean food
"
1829,null,"and can
"
1830,inform,"restaurant in the center serving turkish food
"
1831,inform,"can i find a restaurant
"
1832,inform,"im looking for a cheap restaurant it should serve japanese food
"
1833,inform,"eartrain
"
1834,inform,"french restaurant
"
1835,inform,"um any type of food
"
1836,request,"can i have his phone number
"
1837,request,"what are the address and post code
"
1838,request,"the address please
"
1839,inform,"the south part of town please
"
1840,inform,"that serves in the moderate food price
"
1841,inform,"in the inner south
"
1842,inform,"unusal
"
1843,inform,"im looking for moderately priced restaurant that serves
"
1844,negate,"uh no
"
1845,repeat,"cant repeat
"
1846,inform,"im looking for a restaurant in the center part of town that serves european food
"
1847,inform,"halo food
"
1848,inform,"looking for a restaurant
"
1849,request,"okay what is the address and phone number
"
1850,ack,"okay give me the first
"
1851,negate,"no corsica food
"
1852,inform,"im looking for a greek restaurant
"
1853,inform,"noise vietnamese
"
1854,inform,"im looking for a restaurant in the east part that serves creative food
"
1855,request,"address and type of food
"
1856,inform,"im loooking for a restaurant serving vietnamese type of food
"
1857,reqalts,"is there a restaurant serving modern european food
"
1858,inform,"im looking for a moderately priced restaurant that serves
"
1859,inform,"uh are there any that serves mediterranean
"
1860,inform,"okay international food
"
1861,null,"cannabis
"
1862,request,"could i have the phone number and post code
"
1863,inform,"im looking for a restaurant that serves austrian food
"
1864,inform,"cheap restaurant on the east part of town
"
1865,negate,"no in the south
"
1866,request,"let me get the address
"
1867,request,"and what is the area
"
1868,inform,"i want scottish food
"
1869,inform,"im looking for a restaurant in the west part of town serving
"
1870,inform,"east part of town i need an expensive restaurant
"
1871,inform,"whats a cheap restaurant on the east part of town
"
1872,negate,"no belgium
"
1873,inform,"im looking for a restaurant in the north part town and it should serve australian food
"
1874,request,"phone number area
"
1875,inform,"looking for a cuban food restaurant
"
1876,inform,"can i have a restaurant in the center with spanish food
"
1877,request,"what type of food do they ser
"
1878,inform,"im looking for an expensive restaurant and it should be served international food
"
1879,bye,"good bye
"
1880,inform,"lebanese
"
1881,inform,"i want to find a moderately priced restaurant and it should be in the north part of town
"
1882,inform,"moderately priced restaurants
"
1883,affirm,"yes can i have a vegetarian restaurant in the east part of town
"
1884,reqalts,"give me another choice
"
1885,request,"address and area
"
1886,inform,"im looking for a restaurant in the
"
1887,affirm,"yes in the north part of town
"
1888,request,"whats its phone number
"
1889,inform,"im looking for a restaurant in the moderate price range
"
1890,inform,"about portuguese
"
1891,request,"could i get their phone number please
"
1892,request,"in the cheap price range
"
1893,inform,"im looking for a moderate priced restaurant in the south part of town
"
1894,inform,"the west of town with italian food
"
1895,request,"okay might i have the address
"
1896,inform,"swedish food expensive
"
1897,inform,"cuban restauran
"
1898,negate,"no spanish food
"
1899,inform,"im looking for expensive welsh food
"
1900,inform,"im looking for a restaurant in the north part of town that serves caribbean food
"
1901,inform,"looking for african food in the center of town
"
1902,request,"and whats their price range
"
1903,null,"serving in
"
1904,inform,"i want a moderately priced restaurant in the north town
"
